Year,UNIT_MEASURE,Административно подручје,Пол,Literacy,Value
2013,Број,JEZERO,Ж,illiterates_percentage,7.84
2013,Број,KALINOVIK,Оба пола,illiterates_percentage,4.66
2013,Број,KALINOVIK,M,illiterates_percentage,0.56
2013,Број,KALINOVIK,Ж,illiterates_percentage,8.53
2013,Број,KNEZEVO,Оба пола,illiterates_percentage,11.35
2013,Број,KNEZEVO,M,illiterates_percentage,3.47
2013,Број,KNEZEVO,Ж,illiterates_percentage,18.97
2013,Број,KOZARSKA DUBICA,Оба пола,illiterates_percentage,3.09
2013,Број,KOZARSKA DUBICA,M,illiterates_percentage,0.83
2013,Број,KOZARSKA DUBICA,Ж,illiterates_percentage,5.24
2013,Број,KOSTAJNICA,Оба пола,illiterates_percentage,2.21
2013,Број,KOSTAJNICA,M,illiterates_percentage,0.55
2013,Број,KOSTAJNICA,Ж,illiterates_percentage,3.81
2013,Број,KOTOR VAROS,Оба пола,illiterates_percentage,6.3
2013,Број,KOTOR VAROS,M,illiterates_percentage,1.83
2013,Број,KOTOR VAROS,Ж,illiterates_percentage,10.56
2013,Број,KRUPA NA UNI,Оба пола,illiterates_percentage,9.96
2013,Број,KRUPA NA UNI,M,illiterates_percentage,2.67
2013,Број,KRUPA NA UNI,Ж,illiterates_percentage,18.51
2013,Број,KUPRES,Оба пола,illiterates_percentage,28.93
2013,Број,KUPRES,M,illiterates_percentage,18.37
2013,Број,KUPRES,Ж,illiterates_percentage,40.6
2013,Број,LAKTASI,Оба пола,illiterates_percentage,2.45
2013,Број,LAKTASI,M,illiterates_percentage,0.77
2013,Број,LAKTASI,Ж,illiterates_percentage,4.08
2013,Број,LOPARE,Оба пола,illiterates_percentage,5.0
2013,Број,LOPARE,M,illiterates_percentage,1.8
2013,Број,LOPARE,Ж,illiterates_percentage,8.23
2013,Број,LJUBINJE,Оба пола,illiterates_percentage,1.61
2013,Број,LJUBINJE,M,illiterates_percentage,0.33
2013,Број,LJUBINJE,Ж,illiterates_percentage,2.85
2013,Број,MILICI,Оба пола,illiterates_percentage,4.21
2013,Број,MILICI,M,illiterates_percentage,1.07
2013,Број,MILICI,Ж,illiterates_percentage,7.36
2013,Број,MODRICA,Оба пола,illiterates_percentage,3.28
2013,Број,MODRICA,M,illiterates_percentage,1.09
2013,Број,MODRICA,Ж,illiterates_percentage,5.36
2013,Број,MRKONJIC GRAD,Оба пола,illiterates_percentage,5.65
