Year,UNIT_MEASURE,Oblast obrazovanja,Pol,Value
2021,Broj,Obrazovanje,Ž,33
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,17
2021,Broj,"Poslovanje, administracija i pravo",Ž,10
2021,Broj,"Prirodne nauke, matematika i statistika",Ž,18
2021,Broj,Usluge,Ž,2
2021,Broj,Zdravstvo i socijalna zaštita,Ž,49
2022,Broj,Ukupno,Ukupno,430
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,85
2022,Broj,Umjetnost i humanističke nauke,Ukupno,59
2022,Broj,Informacione i komunikacione tehnologije,Ukupno,9
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,53
2022,Broj,Obrazovanje,Ukupno,35
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,23
2022,Broj,"Poslovanje, administracija i pravo",Ukupno,33
2022,Broj,"Prirodne nauke, matematika i statistika",Ukupno,22
2022,Broj,Usluge,Ukupno,10
2022,Broj,Zdravstvo i socijalna zaštita,Ukupno,101
2022,Broj,Ukupno,M,193
2022,Broj,"Društvene nauke, novinarstvo i informisanje",M,46
2022,Broj,Umjetnost i humanističke nauke,M,25
2022,Broj,Informacione i komunikacione tehnologije,M,6
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,30
2022,Broj,Obrazovanje,M,17
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,5
2022,Broj,"Poslovanje, administracija i pravo",M,9
2022,Broj,"Prirodne nauke, matematika i statistika",M,7
2022,Broj,Usluge,M,8
2022,Broj,Zdravstvo i socijalna zaštita,M,40
2022,Broj,Ukupno,Ž,237
2022,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,39
2022,Broj,Umjetnost i humanističke nauke,Ž,34
2022,Broj,Informacione i komunikacione tehnologije,Ž,3
2022,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,23
2022,Broj,Obrazovanje,Ž,18
2022,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,18
2022,Broj,"Poslovanje, administracija i pravo",Ž,24
2022,Broj,"Prirodne nauke, matematika i statistika",Ž,15
2022,Broj,Usluge,Ž,2
2022,Broj,Zdravstvo i socijalna zaštita,Ž,61
2023,Broj,Ukupno,Ukupno,465
2023,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,46
2023,Broj,Umjetnost i humanističke nauke,Ukupno,71
2023,Broj,Informacione i komunikacione tehnologije,Ukupno,8
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,53
2023,Broj,Obrazovanje,Ukupno,49
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,9
2023,Broj,"Poslovanje, administracija i pravo",Ukupno,66
2023,Broj,"Prirodne nauke, matematika i statistika",Ukupno,25
2023,Broj,Usluge,Ukupno,3
2023,Broj,Zdravstvo i socijalna zaštita,Ukupno,135
2023,Broj,Ukupno,M,179
2023,Broj,"Društvene nauke, novinarstvo i informisanje",M,11
2023,Broj,Umjetnost i humanističke nauke,M,23
2023,Broj,Informacione i komunikacione tehnologije,M,6
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,32
2023,Broj,Obrazovanje,M,7
2023,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,6
2023,Broj,"Poslovanje, administracija i pravo",M,24
2023,Broj,"Prirodne nauke, matematika i statistika",M,10
2023,Broj,Usluge,M,2
2023,Broj,Zdravstvo i socijalna zaštita,M,58
2023,Broj,Ukupno,Ž,286
2023,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,35
2023,Broj,Umjetnost i humanističke nauke,Ž,48
2023,Broj,Informacione i komunikacione tehnologije,Ž,2
2023,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,21
2023,Broj,Obrazovanje,Ž,42
