Year,UNIT_MEASURE,Административно подручје,Пол,Величина домаћинства,Value
2013,Број,Шамац,Оба пола,5 и више чланова,1001.0
2013,Број,Шековићи,M,5 и више чланова,229.0
2013,Број,Шипово,Ж,5 и више чланова,451.0
2013,Број,Република Српска,Оба пола,Просјечан број чланова домаћинства,2.85
2013,Број,Град Бања Лука,M,Просјечан број чланова домаћинства,2.76
2013,Број,Берковићи,Ж,Просјечан број чланова домаћинства,3.21
2013,Број,Град Бијељина,Оба пола,Просјечан број чланова домаћинства,3.02
2013,Број,Билећа,M,Просјечан број чланова домаћинства,3.21
2013,Број,Братунац,Ж,Просјечан број чланова домаћинства,3.14
2013,Број,Брод,Оба пола,Просјечан број чланова домаћинства,2.81
2013,Број,Вишеград,M,Просјечан број чланова домаћинства,2.51
2013,Број,Власеница,Ж,Просјечан број чланова домаћинства,2.87
2013,Број,Вукосавље,Оба пола,Просјечан број чланова домаћинства,2.84
2013,Број,Гацко,M,Просјечан број чланова домаћинства,3.15
2013,Број,Град Градишка,Ж,Просјечан број чланова домаћинства,2.9
2013,Број,Град Дервента,Оба пола,Просјечан број чланова домаћинства,2.77
2013,Број,Град Добој,M,Просјечан број чланова домаћинства,2.68
2013,Број,Доњи Жабар,Ж,Просјечан број чланова домаћинства,3.08
2013,Број,Град Зворник,Оба пола,Просјечан број чланова домаћинства,3.07
2013,Број,Источна Илиџа,M,Просјечан број чланова домаћинства,2.86
2013,Број,Источни Дрвар,Ж,Просјечан број чланова домаћинства,1.61
2013,Број,Источни Мостар,Оба пола,Просјечан број чланова домаћинства,2.94
2013,Број,Источни Стари Град,M,Просјечан број чланова домаћинства,2.55
2013,Број,Источно Ново Сарајево,Ж,Просјечан број чланова домаћинства,2.71
2013,Број,Језеро,Оба пола,Просјечан број чланова домаћинства,2.85
2013,Број,Калиновик,M,Просјечан број чланова домаћинства,2.5
2013,Број,Кнежево,Ж,Просјечан број чланова домаћинства,2.94
2013,Број,Козарска Дубица,Оба пола,Просјечан број чланова домаћинства,2.76
2013,Број,Костајница,M,Просјечан број чланова домаћинства,2.98
2013,Број,Котор Варош,Ж,Просјечан број чланова домаћинства,3.13
2013,Број,Крупа на Уни,Оба пола,Просјечан број чланова домаћинства,2.87
2013,Број,Купрес,M,Просјечан број чланова домаћинства,2.29
2013,Број,Лакташи,Ж,Просјечан број чланова домаћинства,3.02
2013,Број,Лопаре,Оба пола,Просјечан број чланова домаћинства,2.88
2013,Број,Љубиње,M,Просјечан број чланова домаћинства,3.08
2013,Број,Милићи,Ж,Просјечан број чланова домаћинства,2.92
2013,Број,Модрича,Оба пола,Просјечан број чланова домаћинства,2.83
2013,Број,Мркоњић Град,M,Просјечан број чланова домаћинства,2.6
2013,Број,Невесиње,Ж,Просјечан број чланова домаћинства,3.15
2013,Број,Нови Град,Оба пола,Просјечан број чланова домаћинства,2.87
2013,Број,Ново Горажде,M,Просјечан број чланова домаћинства,2.7
2013,Број,Осмаци,Ж,Просјечан број чланова домаћинства,3.31
2013,Број,Оштра Лука,Оба пола,Просјечан број чланова домаћинства,2.79
2013,Број,Пале,M,Просјечан број чланова домаћинства,2.83
2013,Број,Пелагићево,Ж,Просјечан број чланова домаћинства,2.43
2013,Број,Петровац,Оба пола,Просјечан број чланова домаћинства,2.72
2013,Број,Петрово,M,Просјечан број чланова домаћинства,2.49
2013,Број,Град Приједор,Ж,Просјечан број чланова домаћинства,2.88
2013,Број,Прњавор,Оба пола,Просјечан број чланова домаћинства,2.82
2013,Број,Рибник,M,Просјечан број чланова домаћинства,2.6
2013,Број,Рогатица,Ж,Просјечан број чланова домаћинства,2.65
2013,Број,Рудо,Оба пола,Просјечан број чланова домаћинства,2.66
2013,Број,Соколац,M,Просјечан број чланова домаћинства,2.7
2013,Број,Србац,Ж,Просјечан број чланова домаћинства,2.75
2013,Број,Сребреница,Оба пола,Просјечан број чланова домаћинства,3.08
2013,Број,Теслић,M,Просјечан број чланова домаћинства,2.81
2013,Број,Град Требиње,Ж,Просјечан број чланова домаћинства,2.99
2013,Број,Трново,Оба пола,Просјечан број чланова домаћинства,2.48
2013,Број,Угљевик,M,Просјечан број чланова домаћинства,3.11
2013,Број,Фоча,Ж,Просјечан број чланова домаћинства,2.63
2013,Број,Хан Пијесак,Оба пола,Просјечан број чланова домаћинства,2.48
2013,Број,Чајниче,M,Просјечан број чланова домаћинства,2.82
2013,Број,Челинац,Ж,Просјечан број чланова домаћинства,3.02
2013,Број,Шамац,Оба пола,Просјечан број чланова домаћинства,2.91
2013,Број,Шековићи,M,Просјечан број чланова домаћинства,2.51
2013,Број,Шипово,Ж,Просјечан број чланова домаћинства,2.72
