Year,UNIT_MEASURE,Pol,Starosna dob,Value
2035,Broj,Ž,86,3730
2035,Broj,Ž,87,3021
2035,Broj,Ž,88,2614
2035,Broj,Ž,89,2075
2035,Broj,Ž,90,1317
2035,Broj,Ž,91,1084
2035,Broj,Ž,92,944
2035,Broj,Ž,93,751
2035,Broj,Ž,94,665
2035,Broj,Ž,95,569
2035,Broj,Ž,96,401
2035,Broj,Ž,97,280
2035,Broj,Ž,98,191
2035,Broj,Ž,99,123
2035,Broj,Ž,100,73
2035,Broj,Ž,101,44
2035,Broj,Ž,102,26
2035,Broj,Ž,103,13
2035,Broj,Ž,104,6
2035,Broj,Ž,105,4
2035,Broj,Ž,106,2
2035,Broj,Ž,107,1
2035,Broj,Ž,108,0
2035,Broj,Ž,109,0
2035,Broj,Ž,110,0
2035,Broj,Ž,111,0
2035,Broj,Ž,112,0
2035,Broj,Ž,113,0
2035,Broj,Ž,114,0
2035,Broj,Ž,115,0
2035,Broj,Ž,116,0
2035,Broj,Ž,117,0
2035,Broj,Ž,118,0
2035,Broj,Ž,119,0
2035,Broj,Ž,120+,0
2040,Broj,Ž,Ukupno,514516
2040,Broj,Ž,0,3554
2040,Broj,Ž,1,3591
2040,Broj,Ž,2,3631
2040,Broj,Ž,3,3673
2040,Broj,Ž,4,3716
2040,Broj,Ž,5,3761
2040,Broj,Ž,6,3809
2040,Broj,Ž,7,3858
2040,Broj,Ž,8,3905
2040,Broj,Ž,9,3952
2040,Broj,Ž,10,3999
2040,Broj,Ž,11,4045
2040,Broj,Ž,12,4091
2040,Broj,Ž,13,4138
2040,Broj,Ž,14,4186
2040,Broj,Ž,15,4236
2040,Broj,Ž,16,4286
2040,Broj,Ž,17,4338
2040,Broj,Ž,18,4387
2040,Broj,Ž,19,4436
2040,Broj,Ž,20,4491
2040,Broj,Ž,21,4549
2040,Broj,Ž,22,4573
2040,Broj,Ž,23,4469
2040,Broj,Ž,24,4544
2040,Broj,Ž,25,4539
2040,Broj,Ž,26,4545
2040,Broj,Ž,27,4651
2040,Broj,Ž,28,5178
2040,Broj,Ž,29,5056
2040,Broj,Ž,30,5396
2040,Broj,Ž,31,5422
2040,Broj,Ž,32,5383
2040,Broj,Ž,33,5300
2040,Broj,Ž,34,5269
2040,Broj,Ž,35,5272
2040,Broj,Ž,36,5263
2040,Broj,Ž,37,5354
2040,Broj,Ž,38,5367
2040,Broj,Ž,39,5576
2040,Broj,Ž,40,5785
2040,Broj,Ž,41,5730
2040,Broj,Ž,42,6204
2040,Broj,Ž,43,6922
2040,Broj,Ž,44,6885
2040,Broj,Ž,45,7132
2040,Broj,Ž,46,6677
2040,Broj,Ž,47,5436
2040,Broj,Ž,48,5610
2040,Broj,Ž,49,6602
2040,Broj,Ž,50,6493
2040,Broj,Ž,51,6732
2040,Broj,Ž,52,7056
2040,Broj,Ž,53,7204
2040,Broj,Ž,54,7371
2040,Broj,Ž,55,7326
2040,Broj,Ž,56,7563
2040,Broj,Ž,57,7707
2040,Broj,Ž,58,7719
2040,Broj,Ž,59,7634
2040,Broj,Ž,60,7665
2040,Broj,Ž,61,7541
2040,Broj,Ž,62,7395
2040,Broj,Ž,63,7524
2040,Broj,Ž,64,7734
2040,Broj,Ž,65,7402
2040,Broj,Ž,66,7010
2040,Broj,Ž,67,7044
2040,Broj,Ž,68,7040
2040,Broj,Ž,69,6833
2040,Broj,Ž,70,6336
2040,Broj,Ž,71,6507
2040,Broj,Ž,72,6732
2040,Broj,Ž,73,6865
2040,Broj,Ž,74,7017
2040,Broj,Ž,75,7168
2040,Broj,Ž,76,6734
2040,Broj,Ž,77,6799
2040,Broj,Ž,78,6924
2040,Broj,Ž,79,6631
2040,Broj,Ž,80,6473
2040,Broj,Ž,81,6220
2040,Broj,Ž,82,6039
2040,Broj,Ž,83,5141
2040,Broj,Ž,84,5253
2040,Broj,Ž,85,4720
2040,Broj,Ž,86,4599
2040,Broj,Ž,87,3847
2040,Broj,Ž,88,3616
2040,Broj,Ž,89,2507
2040,Broj,Ž,90,2389
2040,Broj,Ž,91,1950
2040,Broj,Ž,92,1465
2040,Broj,Ž,93,1168
2040,Broj,Ž,94,849
2040,Broj,Ž,95,491
2040,Broj,Ž,96,366
2040,Broj,Ž,97,286
2040,Broj,Ž,98,203
2040,Broj,Ž,99,160
2040,Broj,Ž,100,120
2040,Broj,Ž,101,75
2040,Broj,Ž,102,45
2040,Broj,Ž,103,27
2040,Broj,Ž,104,15
2040,Broj,Ž,105,8
2040,Broj,Ž,106,4
2040,Broj,Ž,107,2
2040,Broj,Ž,108,1
2040,Broj,Ž,109,0
2040,Broj,Ž,110,0
2040,Broj,Ž,111,0
2040,Broj,Ž,112,0
2040,Broj,Ž,113,0
2040,Broj,Ž,114,0
2040,Broj,Ž,115,0
2040,Broj,Ž,116,0
2040,Broj,Ž,117,0
2040,Broj,Ž,118,0
2040,Broj,Ž,119,0
2040,Broj,Ž,120+,0
2045,Broj,Ž,Ukupno,493695
2045,Broj,Ž,0,3368
2045,Broj,Ž,1,3404
2045,Broj,Ž,2,3443
2045,Broj,Ž,3,3483
2045,Broj,Ž,4,3521
2045,Broj,Ž,5,3560
2045,Broj,Ž,6,3600
2045,Broj,Ž,7,3641
2045,Broj,Ž,8,3681
2045,Broj,Ž,9,3723
2045,Broj,Ž,10,3768
2045,Broj,Ž,11,3814
2045,Broj,Ž,12,3860
2045,Broj,Ž,13,3907
2045,Broj,Ž,14,3953
2045,Broj,Ž,15,4001
2045,Broj,Ž,16,4046
2045,Broj,Ž,17,4093
2045,Broj,Ž,18,4136
2045,Broj,Ž,19,4181
2045,Broj,Ž,20,4233
2045,Broj,Ž,21,4288
2045,Broj,Ž,22,4347
2045,Broj,Ž,23,4407
2045,Broj,Ž,24,4467
2045,Broj,Ž,25,4522
2045,Broj,Ž,26,4572
2045,Broj,Ž,27,4587
2045,Broj,Ž,28,4477
2045,Broj,Ž,29,4549
2045,Broj,Ž,30,4547
2045,Broj,Ž,31,4561
2045,Broj,Ž,32,4673
2045,Broj,Ž,33,5201
2045,Broj,Ž,34,5079
2045,Broj,Ž,35,5418
2045,Broj,Ž,36,5443
2045,Broj,Ž,37,5404
2045,Broj,Ž,38,5322
2045,Broj,Ž,39,5290
2045,Broj,Ž,40,5290
2045,Broj,Ž,41,5277
2045,Broj,Ž,42,5365
2045,Broj,Ž,43,5373
2045,Broj,Ž,44,5577
2045,Broj,Ž,45,5780
2045,Broj,Ž,46,5721
2045,Broj,Ž,47,6185
2045,Broj,Ž,48,6891
2045,Broj,Ž,49,6848
2045,Broj,Ž,50,7088
2045,Broj,Ž,51,6635
2045,Broj,Ž,52,5404
2045,Broj,Ž,53,5573
2045,Broj,Ž,54,6550
2045,Broj,Ž,55,6435
2045,Broj,Ž,56,6664
2045,Broj,Ž,57,6977
2045,Broj,Ž,58,7115
2045,Broj,Ž,59,7273
2045,Broj,Ž,60,7223
2045,Broj,Ž,61,7449
2045,Broj,Ž,62,7583
2045,Broj,Ž,63,7584
2045,Broj,Ž,64,7488
2045,Broj,Ž,65,7503
2045,Broj,Ž,66,7366
2045,Broj,Ž,67,7206
2045,Broj,Ž,68,7309
2045,Broj,Ž,69,7483
2045,Broj,Ž,70,7130
2045,Broj,Ž,71,6716
2045,Broj,Ž,72,6701
2045,Broj,Ž,73,6643
2045,Broj,Ž,74,6390
2045,Broj,Ž,75,5866
2045,Broj,Ž,76,5952
2045,Broj,Ž,77,6073
2045,Broj,Ž,78,6098
2045,Broj,Ž,79,6127
2045,Broj,Ž,80,6139
2045,Broj,Ž,81,5645
2045,Broj,Ž,82,5560
2045,Broj,Ž,83,5507
2045,Broj,Ž,84,5114
2045,Broj,Ž,85,4822
2045,Broj,Ž,86,4460
2045,Broj,Ž,87,4150
2045,Broj,Ž,88,3371
2045,Broj,Ž,89,3269
2045,Broj,Ž,90,2772
