Year,Value,UNIT_MEASURE
2022	NUMBER	visegrad	M	10-14	179,,
2022	NUMBER	visegrad	F	10-14	154,,
2022	NUMBER	vlasenica	_T	10-14	499,,
2022	NUMBER	vlasenica	M	10-14	231,,
2022	NUMBER	vlasenica	F	10-14	268,,
2022	NUMBER	vukosavlje	_T	10-14	208,,
2022	NUMBER	vukosavlje	M	10-14	106,,
2022	NUMBER	vukosavlje	F	10-14	102,,
2022	NUMBER	berkovici	_T	15-19	104,,
2022	NUMBER	berkovici	M	15-19	51,,
2022	NUMBER	berkovici	F	15-19	53,,
2022	NUMBER	bileca	_T	15-19	493,,
2022	NUMBER	bileca	M	15-19	227,,
2022	NUMBER	bileca	F	15-19	266,,
2022	NUMBER	bratunac	_T	15-19	942,,
2022	NUMBER	bratunac	M	15-19	471,,
2022	NUMBER	bratunac	F	15-19	471,,
2022	NUMBER	brod	_T	15-19	708,,
2022	NUMBER	brod	M	15-19	328,,
2022	NUMBER	brod	F	15-19	380,,
2022	NUMBER	cajnice	_T	15-19	193,,
2022	NUMBER	cajnice	M	15-19	101,,
2022	NUMBER	cajnice	F	15-19	92,,
2022	NUMBER	celinac	_T	15-19	742,,
2022	NUMBER	celinac	M	15-19	355,,
2022	NUMBER	celinac	F	15-19	387,,
2022	NUMBER	donji_zabar	_T	15-19	190,,
2022	NUMBER	donji_zabar	M	15-19	85,,
2022	NUMBER	donji_zabar	F	15-19	105,,
2022	NUMBER	foca	_T	15-19	709,,
2022	NUMBER	foca	M	15-19	336,,
2022	NUMBER	foca	F	15-19	373,,
2022	NUMBER	gacko	_T	15-19	443,,
2022	NUMBER	gacko	M	15-19	200,,
2022	NUMBER	gacko	F	15-19	243,,
2022	NUMBER	grad_banja_luka	_T	15-19	8457,,
2022	NUMBER	grad_banja_luka	M	15-19	4115,,
2022	NUMBER	grad_banja_luka	F	15-19	4342,,
2022	NUMBER	grad_bijeljina	_T	15-19	5186,,
2022	NUMBER	grad_bijeljina	M	15-19	2488,,
2022	NUMBER	grad_bijeljina	F	15-19	2698,,
2022	NUMBER	grad_derventa	_T	15-19	1153,,
2022	NUMBER	grad_derventa	M	15-19	549,,
2022	NUMBER	grad_derventa	F	15-19	604,,
2022	NUMBER	grad_doboj	_T	15-19	2798,,
2022	NUMBER	grad_doboj	M	15-19	1363,,
2022	NUMBER	grad_doboj	F	15-19	1435,,
2022	NUMBER	grad_gradiska	_T	15-19	2182,,
2022	NUMBER	grad_gradiska	M	15-19	1064,,
2022	NUMBER	grad_gradiska	F	15-19	1118,,
2022	NUMBER	grad_prijedor	_T	15-19	3348,,
2022	NUMBER	grad_prijedor	M	15-19	1621,,
2022	NUMBER	grad_prijedor	F	15-19	1727,,
2022	NUMBER	grad_trebinje	_T	15-19	1446,,
2022	NUMBER	grad_trebinje	M	15-19	698,,
2022	NUMBER	grad_trebinje	F	15-19	748,,
2022	NUMBER	grad_zvornik	_T	15-19	2852,,
2022	NUMBER	grad_zvornik	M	15-19	1384,,
2022	NUMBER	grad_zvornik	F	15-19	1468,,
2022	NUMBER	han_pijesak	_T	15-19	122,,
2022	NUMBER	han_pijesak	M	15-19	52,,
2022	NUMBER	han_pijesak	F	15-19	70,,
2022	NUMBER	istocna_ilidza	_T	15-19	669,,
2022	NUMBER	istocna_ilidza	M	15-19	337,,
2022	NUMBER	istocna_ilidza	F	15-19	332,,
2022	NUMBER	istocni_drvar	_T	15-19	3,,
2022	NUMBER	istocni_drvar	M	15-19	1,,
2022	NUMBER	istocni_drvar	F	15-19	2,,
2022	NUMBER	istocni_mostar	_T	15-19	15,,
2022	NUMBER	istocni_mostar	M	15-19	5,,
2022	NUMBER	istocni_mostar	F	15-19	10,,
2022	NUMBER	istocni_stari_grad	_T	15-19	35,,
2022	NUMBER	istocni_stari_grad	M	15-19	15,,
2022	NUMBER	istocni_stari_grad	F	15-19	20,,
2022	NUMBER	istocno_novo_sarajevo	_T	15-19	556,,
2022	NUMBER	istocno_novo_sarajevo	M	15-19	261,,
2022	NUMBER	istocno_novo_sarajevo	F	15-19	295,,
2022	NUMBER	jezero	_T	15-19	49,,
2022	NUMBER	jezero	M	15-19	26,,
2022	NUMBER	jezero	F	15-19	23,,
2022	NUMBER	kalinovik	_T	15-19	66,,
2022	NUMBER	kalinovik	M	15-19	36,,
2022	NUMBER	kalinovik	F	15-19	30,,
2022	NUMBER	knezevo	_T	15-19	370,,
2022	NUMBER	knezevo	M	15-19	173,,
2022	NUMBER	knezevo	F	15-19	197,,
2022	NUMBER	kostajnica	_T	15-19	214,,
2022	NUMBER	kostajnica	M	15-19	98,,
2022	NUMBER	kostajnica	F	15-19	116,,
2022	NUMBER	kotor_varos	_T	15-19	979,,
2022	NUMBER	kotor_varos	M	15-19	469,,
2022	NUMBER	kotor_varos	F	15-19	510,,
2022	NUMBER	kozarska_dubica	_T	15-19	812,,
2022	NUMBER	kozarska_dubica	M	15-19	386,,
2022	NUMBER	kozarska_dubica	F	15-19	426,,
2022	NUMBER	krupa_na_uni	_T	15-19	58,,
2022	NUMBER	krupa_na_uni	M	15-19	26,,
2022	NUMBER	krupa_na_uni	F	15-19	32,,
2022	NUMBER	kupres	_T	15-19	5,,
2022	NUMBER	kupres	M	15-19	2,,
2022	NUMBER	kupres	F	15-19	3,,
2022	NUMBER	laktasi	_T	15-19	1931,,
2022	NUMBER	laktasi	M	15-19	953,,
2022	NUMBER	laktasi	F	15-19	978,,
2022	NUMBER	ljubinje	_T	15-19	126,,
2022	NUMBER	ljubinje	M	15-19	64,,
2022	NUMBER	ljubinje	F	15-19	62,,
2022	NUMBER	lopare	_T	15-19	558,,
2022	NUMBER	lopare	M	15-19	268,,
2022	NUMBER	lopare	F	15-19	290,,
2022	NUMBER	milici	_T	15-19	459,,
2022	NUMBER	milici	M	15-19	219,,
2022	NUMBER	milici	F	15-19	240,,
2022	NUMBER	modrica	_T	15-19	1174,,
2022	NUMBER	modrica	M	15-19	586,,
2022	NUMBER	modrica	F	15-19	588,,
2022	NUMBER	mrkonjic_grad	_T	15-19	718,,
2022	NUMBER	mrkonjic_grad	M	15-19	353,,
2022	NUMBER	mrkonjic_grad	F	15-19	365,,
2022	NUMBER	nevesinje	_T	15-19	635,,
2022	NUMBER	nevesinje	M	15-19	322,,
2022	NUMBER	nevesinje	F	15-19	313,,
2022	NUMBER	novi_grad	_T	15-19	972,,
2022	NUMBER	novi_grad	M	15-19	462,,
2022	NUMBER	novi_grad	F	15-19	510,,
2022	NUMBER	novo_gorazde	_T	15-19	89,,
2022	NUMBER	novo_gorazde	M	15-19	48,,
2022	NUMBER	novo_gorazde	F	15-19	41,,
2022	NUMBER	osmaci	_T	15-19	255,,
2022	NUMBER	osmaci	M	15-19	120,,
2022	NUMBER	osmaci	F	15-19	135,,
2022	NUMBER	ostra_luka	_T	15-19	132,,
2022	NUMBER	ostra_luka	M	15-19	58,,
2022	NUMBER	ostra_luka	F	15-19	74,,
2022	NUMBER	pale	_T	15-19	895,,
2022	NUMBER	pale	M	15-19	446,,
2022	NUMBER	pale	F	15-19	449,,
2022	NUMBER	pelagicevo	_T	15-19	134,,
2022	NUMBER	pelagicevo	M	15-19	67,,
2022	NUMBER	pelagicevo	F	15-19	67,,
2022	NUMBER	petrovac	_T	15-19	27,,
