Year,UNIT_MEASURE,Administrative area,Sex,Ethnicity/nationality,Value
2013,Number,Donji Zabar,F,Serb,1306
2013,Number,City of Zvornik,Total,Serb,37242
2013,Number,City of Zvornik,M,Serb,18452
2013,Number,City of Zvornik,F,Serb,18790
2013,Number,East Ilidza,Total,Serb,13455
2013,Number,East Ilidza,M,Serb,6486
2013,Number,East Ilidza,F,Serb,6969
2013,Number,East Drvar,Total,Serb,65
2013,Number,East Drvar,M,Serb,44
2013,Number,East Drvar,F,Serb,21
2013,Number,East Mostar,Total,Serb,153
2013,Number,East Mostar,M,Serb,84
2013,Number,East Mostar,F,Serb,69
2013,Number,East Stari Grad,Total,Serb,1059
2013,Number,East Stari Grad,M,Serb,519
2013,Number,East Stari Grad,F,Serb,540
2013,Number,East Novo Sarajevo,Total,Serb,10028
2013,Number,East Novo Sarajevo,M,Serb,4801
2013,Number,East Novo Sarajevo,F,Serb,5227
2013,Number,Jezero,Total,Serb,779
2013,Number,Jezero,M,Serb,410
