Year,UNIT_MEASURE,Teritory,SEX,BIRTHS,Value
2013,NUMBER,milici,F,four_children,277
2013,NUMBER,modrica,F,four_children,548
2013,NUMBER,mrkonjic_grad,F,four_children,393
2013,NUMBER,nevesinje,F,four_children,395
2013,NUMBER,novi_grad,F,four_children,583
2013,NUMBER,novo_gorazde,F,four_children,55
2013,NUMBER,osmaci,F,four_children,171
2013,NUMBER,ostra_luka,F,four_children,105
2013,NUMBER,pale,F,four_children,235
2013,NUMBER,pelagicevo,F,four_children,133
2013,NUMBER,petrovac,F,four_children,2
2013,NUMBER,petrovo,F,four_children,91
2013,NUMBER,grad_prijedor,F,four_children,1761
2013,NUMBER,prnjavor,F,four_children,769
2013,NUMBER,ribnik,F,four_children,198
2013,NUMBER,rogatica,F,four_children,259
2013,NUMBER,rudo,F,four_children,201
2013,NUMBER,sokolac,F,four_children,206
2013,NUMBER,srbac,F,four_children,306
2013,NUMBER,srebrenica,F,four_children,358
2013,NUMBER,teslic,F,four_children,1010
2013,NUMBER,grad_trebinje,F,four_children,463
2013,NUMBER,trnovo,F,four_children,45
2013,NUMBER,ugljevik,F,four_children,264
2013,NUMBER,foca,F,four_children,348
2013,NUMBER,han_pijesak,F,four_children,75
2013,NUMBER,cajnice,F,four_children,140
2013,NUMBER,celinac,F,four_children,385
2013,NUMBER,samac,F,four_children,235
2013,NUMBER,sekovici,F,four_children,193
2013,NUMBER,sipovo,F,four_children,275
2013,NUMBER,republika_srpska,F,5+,17275
2013,NUMBER,grad_banja_luka,F,5+,1552
2013,NUMBER,berkovici,F,5+,37
2013,NUMBER,grad_bijeljina,F,5+,882
2013,NUMBER,bileca,F,5+,169
2013,NUMBER,bratunac,F,5+,489
2013,NUMBER,brod,F,5+,224
2013,NUMBER,visegrad,F,5+,123
2013,NUMBER,vlasenica,F,5+,254
2013,NUMBER,vukosavlje,F,5+,140
2013,NUMBER,gacko,F,5+,133
2013,NUMBER,grad_gradiska,F,5+,677
2013,NUMBER,grad_derventa,F,5+,372
2013,NUMBER,grad_doboj,F,5+,1006
2013,NUMBER,donji_zabar,F,5+,50
2013,NUMBER,grad_zvornik,F,5+,1008
2013,NUMBER,istocna_ilidza,F,5+,54
2013,NUMBER,istocni_drvar,F,5+,0
2013,NUMBER,istocni_mostar,F,5+,7
2013,NUMBER,istocni_stari_grad,F,5+,7
2013,NUMBER,istocno_novo_sarajevo,F,5+,30
2013,NUMBER,jezero,F,5+,26
2013,NUMBER,kalinovik,F,5+,43
2013,NUMBER,knezevo,F,5+,365
2013,NUMBER,kozarska_dubica,F,5+,165
2013,NUMBER,kostajnica,F,5+,47
2013,NUMBER,kotor_varos,F,5+,617
2013,NUMBER,krupa_na_uni,F,5+,65
2013,NUMBER,kupres,F,5+,10
2013,NUMBER,laktasi,F,5+,306
2013,NUMBER,lopare,F,5+,209
2013,NUMBER,ljubinje,F,5+,41
2013,NUMBER,milici,F,5+,239
2013,NUMBER,modrica,F,5+,366
2013,NUMBER,mrkonjic_grad,F,5+,295
2013,NUMBER,nevesinje,F,5+,204
2013,NUMBER,novi_grad,F,5+,543
2013,NUMBER,novo_gorazde,F,5+,42
