Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,Berkovići,M,illiterates_percentage,0.11
2013,Broj,Berkovići,Ž,illiterates_percentage,5.07
2013,Broj,Grad Bijeljina,Oba spola,illiterates_percentage,2.7
2013,Broj,Grad Bijeljina,M,illiterates_percentage,0.9
2013,Broj,Grad Bijeljina,Ž,illiterates_percentage,4.4
2013,Broj,Bileća,Oba spola,illiterates_percentage,1.49
2013,Broj,Bileća,M,illiterates_percentage,0.64
2013,Broj,Bileća,Ž,illiterates_percentage,2.35
2013,Broj,Bratunac,Oba spola,illiterates_percentage,5.16
2013,Broj,Bratunac,M,illiterates_percentage,1.0
2013,Broj,Bratunac,Ž,illiterates_percentage,9.17
2013,Broj,Brod,Oba spola,illiterates_percentage,2.31
2013,Broj,Brod,M,illiterates_percentage,0.77
2013,Broj,Brod,Ž,illiterates_percentage,3.76
2013,Broj,Višegrad,Oba spola,illiterates_percentage,3.82
2013,Broj,Višegrad,M,illiterates_percentage,0.78
2013,Broj,Višegrad,Ž,illiterates_percentage,6.59
2013,Broj,Vlasenica,Oba spola,illiterates_percentage,3.63
2013,Broj,Vlasenica,M,illiterates_percentage,1.05
2013,Broj,Vlasenica,Ž,illiterates_percentage,6.04
2013,Broj,Vukosavlje,Oba spola,illiterates_percentage,4.96
2013,Broj,Vukosavlje,M,illiterates_percentage,1.57
2013,Broj,Vukosavlje,Ž,illiterates_percentage,8.35
2013,Broj,Gacko,Oba spola,illiterates_percentage,1.4
2013,Broj,Gacko,M,illiterates_percentage,0.25
2013,Broj,Gacko,Ž,illiterates_percentage,2.58
2013,Broj,Grad Gradiška,Oba spola,illiterates_percentage,3.39
2013,Broj,Grad Gradiška,M,illiterates_percentage,0.94
2013,Broj,Grad Gradiška,Ž,illiterates_percentage,5.71
2013,Broj,Grad Derventa,Oba spola,illiterates_percentage,3.44
2013,Broj,Grad Derventa,M,illiterates_percentage,1.05
2013,Broj,Grad Derventa,Ž,illiterates_percentage,5.69
2013,Broj,Grad Doboj,Oba spola,illiterates_percentage,3.19
2013,Broj,Grad Doboj,M,illiterates_percentage,0.9
2013,Broj,Grad Doboj,Ž,illiterates_percentage,5.33
2013,Broj,Donji Žabar,Oba spola,illiterates_percentage,3.82
2013,Broj,Donji Žabar,M,illiterates_percentage,1.54
2013,Broj,Donji Žabar,Ž,illiterates_percentage,6.12
2013,Broj,Grad Zvornik,Oba spola,illiterates_percentage,4.23
2013,Broj,Grad Zvornik,M,illiterates_percentage,1.03
2013,Broj,Grad Zvornik,Ž,illiterates_percentage,7.32
2013,Broj,Istočna Ilidža,Oba spola,illiterates_percentage,1.3
2013,Broj,Istočna Ilidža,M,illiterates_percentage,0.35
2013,Broj,Istočna Ilidža,Ž,illiterates_percentage,2.17
2013,Broj,Istočni Drvar,Oba spola,illiterates_percentage,3.08
2013,Broj,Istočni Drvar,M,illiterates_percentage,0.0
2013,Broj,Istočni Drvar,Ž,illiterates_percentage,9.09
2013,Broj,Istočni Mostar,Oba spola,illiterates_percentage,8.41
2013,Broj,Istočni Mostar,M,illiterates_percentage,0.78
2013,Broj,Istočni Mostar,Ž,illiterates_percentage,18.37
2013,Broj,Istočni Stari Grad,Oba spola,illiterates_percentage,3.87
2013,Broj,Istočni Stari Grad,M,illiterates_percentage,0.59
2013,Broj,Istočni Stari Grad,Ž,illiterates_percentage,7.01
2013,Broj,Istočno Novo Sarajevo,Oba spola,illiterates_percentage,0.86
2013,Broj,Istočno Novo Sarajevo,M,illiterates_percentage,0.32
2013,Broj,Istočno Novo Sarajevo,Ž,illiterates_percentage,1.35
