Year,UNIT_MEASURE,Teritory,Spol,Starosna dob,Value
2013,Broj,MRKONJIC GRAD,Oba spola,10-14,844
2013,Broj,MRKONJIC GRAD,M,10-14,403
2013,Broj,MRKONJIC GRAD,Ž,10-14,441
2013,Broj,NEVESINJE,Oba spola,10-14,689
2013,Broj,NEVESINJE,M,10-14,340
2013,Broj,NEVESINJE,Ž,10-14,349
2013,Broj,NOVI GRAD,Oba spola,10-14,1193
2013,Broj,NOVI GRAD,M,10-14,655
2013,Broj,NOVI GRAD,Ž,10-14,538
2013,Broj,NOVO GORAZDE,Oba spola,10-14,83
2013,Broj,NOVO GORAZDE,M,10-14,36
2013,Broj,NOVO GORAZDE,Ž,10-14,47
2013,Broj,OSMACI,Oba spola,10-14,313
2013,Broj,OSMACI,M,10-14,159
2013,Broj,OSMACI,Ž,10-14,154
2013,Broj,OSTRA LUKA,Oba spola,10-14,163
2013,Broj,OSTRA LUKA,M,10-14,89
2013,Broj,OSTRA LUKA,Ž,10-14,74
2013,Broj,PELAGICEVO,Oba spola,10-14,185
2013,Broj,PELAGICEVO,M,10-14,94
2013,Broj,PELAGICEVO,Ž,10-14,91
2013,Broj,PETROVAC,Oba spola,10-14,21
