Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,SIPOVO,Ž,5+,451.0
2013,Broj,REPUBLIKA SRPSKA,Oba spola,average_number,2.85
2013,Broj,BANJA LUKA,M,average_number,2.76
2013,Broj,BERKOVICI,Ž,average_number,3.21
2013,Broj,BIJELJINA,Oba spola,average_number,3.02
2013,Broj,BILECA,M,average_number,3.21
2013,Broj,BRATUNAC,Ž,average_number,3.14
2013,Broj,BROD,Oba spola,average_number,2.81
2013,Broj,VISEGRAD,M,average_number,2.51
2013,Broj,VLASENICA,Ž,average_number,2.87
2013,Broj,VUKOSAVLJE,Oba spola,average_number,2.84
2013,Broj,GACKO,M,average_number,3.15
2013,Broj,GRADISKA,Ž,average_number,2.9
2013,Broj,DERVENTA,Oba spola,average_number,2.77
2013,Broj,DOBOJ,M,average_number,2.68
2013,Broj,DONJI ZABAR,Ž,average_number,3.08
2013,Broj,ZVORNIK,Oba spola,average_number,3.07
2013,Broj,ISTOCNA ILIDZA,M,average_number,2.86
2013,Broj,ISTOCNI DRVAR,Ž,average_number,1.61
2013,Broj,ISTOCNI MOSTAR,Oba spola,average_number,2.94
2013,Broj,ISTOCNI STARI GRAD,M,average_number,2.55
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,average_number,2.71
2013,Broj,JEZERO,Oba spola,average_number,2.85
2013,Broj,KALINOVIK,M,average_number,2.5
2013,Broj,KNEZEVO,Ž,average_number,2.94
2013,Broj,KOZARSKA DUBICA,Oba spola,average_number,2.76
2013,Broj,KOSTAJNICA,M,average_number,2.98
2013,Broj,KOTOR VAROS,Ž,average_number,3.13
2013,Broj,KRUPA NA UNI,Oba spola,average_number,2.87
2013,Broj,KUPRES,M,average_number,2.29
2013,Broj,LAKTASI,Ž,average_number,3.02
2013,Broj,LOPARE,Oba spola,average_number,2.88
2013,Broj,LJUBINJE,M,average_number,3.08
2013,Broj,MILICI,Ž,average_number,2.92
2013,Broj,MODRICA,Oba spola,average_number,2.83
2013,Broj,MRKONJIC GRAD,M,average_number,2.6
2013,Broj,NEVESINJE,Ž,average_number,3.15
2013,Broj,NOVI GRAD,Oba spola,average_number,2.87
2013,Broj,NOVO GORAZDE,M,average_number,2.7
2013,Broj,OSMACI,Ž,average_number,3.31
2013,Broj,OSTRA LUKA,Oba spola,average_number,2.79
2013,Broj,PALE,M,average_number,2.83
2013,Broj,PELAGICEVO,Ž,average_number,2.43
2013,Broj,PETROVAC,Oba spola,average_number,2.72
2013,Broj,PETROVO,M,average_number,2.49
2013,Broj,PRIJEDOR,Ž,average_number,2.88
2013,Broj,PRNJAVOR,Oba spola,average_number,2.82
2013,Broj,RIBNIK,M,average_number,2.6
2013,Broj,ROGATICA,Ž,average_number,2.65
2013,Broj,RUDO,Oba spola,average_number,2.66
2013,Broj,SOKOLAC,M,average_number,2.7
2013,Broj,SRBAC,Ž,average_number,2.75
2013,Broj,SREBRENICA,Oba spola,average_number,3.08
2013,Broj,TESLIC,M,average_number,2.81
2013,Broj,TREBINJE,Ž,average_number,2.99
2013,Broj,TRNOVO,Oba spola,average_number,2.48
2013,Broj,UGLJEVIK,M,average_number,3.11
2013,Broj,FOCA,Ž,average_number,2.63
2013,Broj,HAN PIJESAK,Oba spola,average_number,2.48
2013,Broj,CAJNICE,M,average_number,2.82
2013,Broj,CELINAC,Ž,average_number,3.02
2013,Broj,SAMAC,Oba spola,average_number,2.91
2013,Broj,SEKOVICI,M,average_number,2.51
2013,Broj,SIPOVO,Ž,average_number,2.72
