Year,UNIT_MEASURE,ADMIN_AREA,SEX,Nationality,Value
2013,NUMBER,OSMACI,F,croats,6
2013,NUMBER,OSTRA LUKA,_T,croats,149
2013,NUMBER,OSTRA LUKA,M,croats,74
2013,NUMBER,OSTRA LUKA,F,croats,75
2013,NUMBER,PALE,_T,croats,126
2013,NUMBER,PALE,M,croats,37
2013,NUMBER,PALE,F,croats,89
2013,NUMBER,PELAGICEVO,_T,croats,1182
2013,NUMBER,PELAGICEVO,M,croats,580
2013,NUMBER,PELAGICEVO,F,croats,602
2013,NUMBER,PETROVAC,_T,croats,-
2013,NUMBER,PETROVAC,M,croats,-
2013,NUMBER,PETROVAC,F,croats,-
2013,NUMBER,PETROVO,_T,croats,34
2013,NUMBER,PETROVO,M,croats,8
2013,NUMBER,PETROVO,F,croats,26
2013,NUMBER,PRIJEDOR,_T,croats,1666
2013,NUMBER,PRIJEDOR,M,croats,679
2013,NUMBER,PRIJEDOR,F,croats,987
2013,NUMBER,PRNJAVOR,_T,croats,423
2013,NUMBER,PRNJAVOR,M,croats,150
2013,NUMBER,PRNJAVOR,F,croats,273
2013,NUMBER,RIBNIK,_T,croats,11
2013,NUMBER,RIBNIK,M,croats,4
2013,NUMBER,RIBNIK,F,croats,7
2013,NUMBER,ROGATICA,_T,croats,18
2013,NUMBER,ROGATICA,M,croats,2
2013,NUMBER,ROGATICA,F,croats,16
2013,NUMBER,RUDO,_T,croats,7
2013,NUMBER,RUDO,M,croats,6
2013,NUMBER,RUDO,F,croats,1
2013,NUMBER,SOKOLAC,_T,croats,28
2013,NUMBER,SOKOLAC,M,croats,8
2013,NUMBER,SOKOLAC,F,croats,20
2013,NUMBER,SRBAC,_T,croats,128
2013,NUMBER,SRBAC,M,croats,21
2013,NUMBER,SRBAC,F,croats,107
2013,NUMBER,SREBRENICA,_T,croats,14
2013,NUMBER,SREBRENICA,M,croats,6
2013,NUMBER,SREBRENICA,F,croats,8
2013,NUMBER,TESLIC,_T,croats,1346
2013,NUMBER,TESLIC,M,croats,581
2013,NUMBER,TESLIC,F,croats,765
2013,NUMBER,TREBINJE,_T,croats,295
2013,NUMBER,TREBINJE,M,croats,99
2013,NUMBER,TREBINJE,F,croats,196
2013,NUMBER,TRNOVO,_T,croats,15
2013,NUMBER,TRNOVO,M,croats,3
2013,NUMBER,TRNOVO,F,croats,12
2013,NUMBER,UGLJEVIK,_T,croats,42
2013,NUMBER,UGLJEVIK,M,croats,8
