Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,DERVENTA,Oba spola,illiterates_percentage,3.44
2013,Broj,DERVENTA,M,illiterates_percentage,1.05
2013,Broj,DERVENTA,Ž,illiterates_percentage,5.69
2013,Broj,DOBOJ,Oba spola,illiterates_percentage,3.19
2013,Broj,DOBOJ,M,illiterates_percentage,0.9
2013,Broj,DOBOJ,Ž,illiterates_percentage,5.33
2013,Broj,DONJI ZABAR,Oba spola,illiterates_percentage,3.82
2013,Broj,DONJI ZABAR,M,illiterates_percentage,1.54
2013,Broj,DONJI ZABAR,Ž,illiterates_percentage,6.12
2013,Broj,ZVORNIK,Oba spola,illiterates_percentage,4.23
2013,Broj,ZVORNIK,M,illiterates_percentage,1.03
2013,Broj,ZVORNIK,Ž,illiterates_percentage,7.32
2013,Broj,ISTOCNA ILIDZA,Oba spola,illiterates_percentage,1.3
2013,Broj,ISTOCNA ILIDZA,M,illiterates_percentage,0.35
2013,Broj,ISTOCNA ILIDZA,Ž,illiterates_percentage,2.17
2013,Broj,ISTOCNI DRVAR,Oba spola,illiterates_percentage,3.08
2013,Broj,ISTOCNI DRVAR,M,illiterates_percentage,0.0
2013,Broj,ISTOCNI DRVAR,Ž,illiterates_percentage,9.09
2013,Broj,ISTOCNI MOSTAR,Oba spola,illiterates_percentage,8.41
2013,Broj,ISTOCNI MOSTAR,M,illiterates_percentage,0.78
2013,Broj,ISTOCNI MOSTAR,Ž,illiterates_percentage,18.37
2013,Broj,ISTOCNI STARI GRAD,Oba spola,illiterates_percentage,3.87
2013,Broj,ISTOCNI STARI GRAD,M,illiterates_percentage,0.59
2013,Broj,ISTOCNI STARI GRAD,Ž,illiterates_percentage,7.01
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,illiterates_percentage,0.86
2013,Broj,ISTOCNO NOVO SARAJEVO,M,illiterates_percentage,0.32
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,illiterates_percentage,1.35
2013,Broj,JEZERO,Oba spola,illiterates_percentage,4.52
2013,Broj,JEZERO,M,illiterates_percentage,1.42
2013,Broj,JEZERO,Ž,illiterates_percentage,7.84
2013,Broj,KALINOVIK,Oba spola,illiterates_percentage,4.66
2013,Broj,KALINOVIK,M,illiterates_percentage,0.56
2013,Broj,KALINOVIK,Ž,illiterates_percentage,8.53
2013,Broj,KNEZEVO,Oba spola,illiterates_percentage,11.35
2013,Broj,KNEZEVO,M,illiterates_percentage,3.47
2013,Broj,KNEZEVO,Ž,illiterates_percentage,18.97
2013,Broj,KOZARSKA DUBICA,Oba spola,illiterates_percentage,3.09
2013,Broj,KOZARSKA DUBICA,M,illiterates_percentage,0.83
2013,Broj,KOZARSKA DUBICA,Ž,illiterates_percentage,5.24
2013,Broj,KOSTAJNICA,Oba spola,illiterates_percentage,2.21
2013,Broj,KOSTAJNICA,M,illiterates_percentage,0.55
2013,Broj,KOSTAJNICA,Ž,illiterates_percentage,3.81
2013,Broj,KOTOR VAROS,Oba spola,illiterates_percentage,6.3
2013,Broj,KOTOR VAROS,M,illiterates_percentage,1.83
2013,Broj,KOTOR VAROS,Ž,illiterates_percentage,10.56
