Year,UNIT_MEASURE,ADMIN_AREA,Spol,Literacy,Value
2013,Broj,grad_gradiska,M,unknown_literacy,163.0
2013,Broj,grad_gradiska,Ž,unknown_literacy,260.0
2013,Broj,grad_derventa,Oba spola,unknown_literacy,368.0
2013,Broj,grad_derventa,M,unknown_literacy,135.0
2013,Broj,grad_derventa,Ž,unknown_literacy,233.0
2013,Broj,grad_doboj,Oba spola,unknown_literacy,481.0
2013,Broj,grad_doboj,M,unknown_literacy,166.0
2013,Broj,grad_doboj,Ž,unknown_literacy,315.0
2013,Broj,donji_zabar,Oba spola,unknown_literacy,81.0
2013,Broj,donji_zabar,M,unknown_literacy,33.0
2013,Broj,donji_zabar,Ž,unknown_literacy,48.0
2013,Broj,grad_zvornik,Oba spola,unknown_literacy,666.0
2013,Broj,grad_zvornik,M,unknown_literacy,204.0
2013,Broj,grad_zvornik,Ž,unknown_literacy,462.0
2013,Broj,istocna_ilidza,Oba spola,unknown_literacy,67.0
2013,Broj,istocna_ilidza,M,unknown_literacy,21.0
2013,Broj,istocna_ilidza,Ž,unknown_literacy,46.0
2013,Broj,istocni_drvar,Oba spola,unknown_literacy,0.0
2013,Broj,istocni_drvar,M,unknown_literacy,0.0
2013,Broj,istocni_drvar,Ž,unknown_literacy,0.0
2013,Broj,istocni_mostar,Oba spola,unknown_literacy,0.0
2013,Broj,istocni_mostar,M,unknown_literacy,0.0
2013,Broj,istocni_mostar,Ž,unknown_literacy,0.0
2013,Broj,istocni_stari_grad,Oba spola,unknown_literacy,6.0
2013,Broj,istocni_stari_grad,M,unknown_literacy,2.0
2013,Broj,istocni_stari_grad,Ž,unknown_literacy,4.0
2013,Broj,istocno_novo_sarajevo,Oba spola,unknown_literacy,36.0
2013,Broj,istocno_novo_sarajevo,M,unknown_literacy,12.0
2013,Broj,istocno_novo_sarajevo,Ž,unknown_literacy,24.0
2013,Broj,jezero,Oba spola,unknown_literacy,6.0
2013,Broj,jezero,M,unknown_literacy,2.0
2013,Broj,jezero,Ž,unknown_literacy,4.0
2013,Broj,kalinovik,Oba spola,unknown_literacy,12.0
2013,Broj,kalinovik,M,unknown_literacy,5.0
2013,Broj,kalinovik,Ž,unknown_literacy,7.0
2013,Broj,knezevo,Oba spola,unknown_literacy,78.0
2013,Broj,knezevo,M,unknown_literacy,32.0
2013,Broj,knezevo,Ž,unknown_literacy,46.0
2013,Broj,kozarska_dubica,Oba spola,unknown_literacy,124.0
2013,Broj,kozarska_dubica,M,unknown_literacy,48.0
2013,Broj,kozarska_dubica,Ž,unknown_literacy,76.0
2013,Broj,kostajnica,Oba spola,unknown_literacy,34.0
2013,Broj,kostajnica,M,unknown_literacy,15.0
2013,Broj,kostajnica,Ž,unknown_literacy,19.0
2013,Broj,kotor_varos,Oba spola,unknown_literacy,216.0
2013,Broj,kotor_varos,M,unknown_literacy,73.0
2013,Broj,kotor_varos,Ž,unknown_literacy,143.0
2013,Broj,krupa_na_uni,Oba spola,unknown_literacy,4.0
2013,Broj,krupa_na_uni,M,unknown_literacy,1.0
2013,Broj,krupa_na_uni,Ž,unknown_literacy,3.0
2013,Broj,kupres,Oba spola,unknown_literacy,1.0
2013,Broj,kupres,M,unknown_literacy,0.0
2013,Broj,kupres,Ž,unknown_literacy,1.0
2013,Broj,laktasi,Oba spola,unknown_literacy,314.0
2013,Broj,laktasi,M,unknown_literacy,117.0
2013,Broj,laktasi,Ž,unknown_literacy,197.0
2013,Broj,lopare,Oba spola,unknown_literacy,156.0
2013,Broj,lopare,M,unknown_literacy,62.0
2013,Broj,lopare,Ž,unknown_literacy,94.0
2013,Broj,ljubinje,Oba spola,unknown_literacy,22.0
2013,Broj,ljubinje,M,unknown_literacy,7.0
2013,Broj,ljubinje,Ž,unknown_literacy,15.0
2013,Broj,milici,Oba spola,unknown_literacy,157.0
2013,Broj,milici,M,unknown_literacy,42.0
2013,Broj,milici,Ž,unknown_literacy,115.0
2013,Broj,modrica,Oba spola,unknown_literacy,346.0
2013,Broj,modrica,M,unknown_literacy,128.0
2013,Broj,modrica,Ž,unknown_literacy,218.0
2013,Broj,mrkonjic_grad,Oba spola,unknown_literacy,177.0
2013,Broj,mrkonjic_grad,M,unknown_literacy,65.0
2013,Broj,mrkonjic_grad,Ž,unknown_literacy,112.0
2013,Broj,nevesinje,Oba spola,unknown_literacy,95.0
2013,Broj,nevesinje,M,unknown_literacy,40.0
2013,Broj,nevesinje,Ž,unknown_literacy,55.0
2013,Broj,novi_grad,Oba spola,unknown_literacy,265.0
2013,Broj,novi_grad,M,unknown_literacy,96.0
2013,Broj,novi_grad,Ž,unknown_literacy,169.0
2013,Broj,novo_gorazde,Oba spola,unknown_literacy,16.0
2013,Broj,novo_gorazde,M,unknown_literacy,3.0
2013,Broj,novo_gorazde,Ž,unknown_literacy,13.0
2013,Broj,osmaci,Oba spola,unknown_literacy,41.0
2013,Broj,osmaci,M,unknown_literacy,15.0
2013,Broj,osmaci,Ž,unknown_literacy,26.0
2013,Broj,ostra_luka,Oba spola,unknown_literacy,19.0
2013,Broj,ostra_luka,M,unknown_literacy,10.0
2013,Broj,ostra_luka,Ž,unknown_literacy,9.0
2013,Broj,pale,Oba spola,unknown_literacy,99.0
2013,Broj,pale,M,unknown_literacy,31.0
2013,Broj,pale,Ž,unknown_literacy,68.0
2013,Broj,pelagicevo,Oba spola,unknown_literacy,132.0
2013,Broj,pelagicevo,M,unknown_literacy,59.0
2013,Broj,pelagicevo,Ž,unknown_literacy,73.0
2013,Broj,petrovac,Oba spola,unknown_literacy,1.0
2013,Broj,petrovac,M,unknown_literacy,1.0
2013,Broj,petrovac,Ž,unknown_literacy,0.0
2013,Broj,petrovo,Oba spola,unknown_literacy,35.0
2013,Broj,petrovo,M,unknown_literacy,13.0
2013,Broj,petrovo,Ž,unknown_literacy,22.0
2013,Broj,grad_prijedor,Oba spola,unknown_literacy,816.0
2013,Broj,grad_prijedor,M,unknown_literacy,283.0
2013,Broj,grad_prijedor,Ž,unknown_literacy,533.0
2013,Broj,prnjavor,Oba spola,unknown_literacy,223.0
2013,Broj,prnjavor,M,unknown_literacy,90.0
2013,Broj,prnjavor,Ž,unknown_literacy,133.0
2013,Broj,ribnik,Oba spola,unknown_literacy,41.0
2013,Broj,ribnik,M,unknown_literacy,13.0
