Year,UNIT_MEASURE,Grad/opština,Pol,Etnička/nacionalna pripadnost,Value
2013,Broj,Sokolac,Ž,Bošnjaci,300
2013,Broj,Srbac,Ukupno,Bošnjaci,394
2013,Broj,Srbac,M,Bošnjaci,184
2013,Broj,Srbac,Ž,Bošnjaci,210
2013,Broj,Srebrenica,Ukupno,Bošnjaci,6122
2013,Broj,Srebrenica,M,Bošnjaci,2913
2013,Broj,Srebrenica,Ž,Bošnjaci,3209
2013,Broj,Teslić,Ukupno,Bošnjaci,6887
2013,Broj,Teslić,M,Bošnjaci,3387
2013,Broj,Teslić,Ž,Bošnjaci,3500
2013,Broj,Grad Trebinje,Ukupno,Bošnjaci,863
2013,Broj,Grad Trebinje,M,Bošnjaci,426
2013,Broj,Grad Trebinje,Ž,Bošnjaci,437
2013,Broj,Trnovo,Ukupno,Bošnjaci,818
2013,Broj,Trnovo,M,Bošnjaci,405
2013,Broj,Trnovo,Ž,Bošnjaci,413
2013,Broj,Ugljevik,Ukupno,Bošnjaci,1999
2013,Broj,Ugljevik,M,Bošnjaci,974
2013,Broj,Ugljevik,Ž,Bošnjaci,1025
2013,Broj,Foča,Ukupno,Bošnjaci,1169
2013,Broj,Foča,M,Bošnjaci,626
2013,Broj,Foča,Ž,Bošnjaci,543
2013,Broj,Han Pijesak,Ukupno,Bošnjaci,420
2013,Broj,Han Pijesak,M,Bošnjaci,204
2013,Broj,Han Pijesak,Ž,Bošnjaci,216
2013,Broj,Čajniče,Ukupno,Bošnjaci,835
2013,Broj,Čajniče,M,Bošnjaci,439
2013,Broj,Čajniče,Ž,Bošnjaci,396
2013,Broj,Čelinac,Ukupno,Bošnjaci,395
2013,Broj,Čelinac,M,Bošnjaci,197
2013,Broj,Čelinac,Ž,Bošnjaci,198
2013,Broj,Šamac,Ukupno,Bošnjaci,1005
2013,Broj,Šamac,M,Bošnjaci,486
2013,Broj,Šamac,Ž,Bošnjaci,519
2013,Broj,Šekovići,Ukupno,Bošnjaci,103
2013,Broj,Šekovići,M,Bošnjaci,51
2013,Broj,Šekovići,Ž,Bošnjaci,52
2013,Broj,Šipovo,Ukupno,Bošnjaci,578
2013,Broj,Šipovo,M,Bošnjaci,294
2013,Broj,Šipovo,Ž,Bošnjaci,284
2013,Broj,Republika Srpska,Ukupno,Hrvati,26509
2013,Broj,Republika Srpska,M,Hrvati,11005
2013,Broj,Republika Srpska,Ž,Hrvati,15504
2013,Broj,Grad Banja Luka,Ukupno,Hrvati,4887
2013,Broj,Grad Banja Luka,M,Hrvati,1761
2013,Broj,Grad Banja Luka,Ž,Hrvati,3126
2013,Broj,Berkovići,Ukupno,Hrvati,11
2013,Broj,Berkovići,M,Hrvati,1
2013,Broj,Berkovići,Ž,Hrvati,10
2013,Broj,Grad Bijeljina,Ukupno,Hrvati,498
2013,Broj,Grad Bijeljina,M,Hrvati,140
2013,Broj,Grad Bijeljina,Ž,Hrvati,358
2013,Broj,Bileća,Ukupno,Hrvati,21
2013,Broj,Bileća,M,Hrvati,2
2013,Broj,Bileća,Ž,Hrvati,19
2013,Broj,Bratunac,Ukupno,Hrvati,30
2013,Broj,Bratunac,M,Hrvati,5
2013,Broj,Bratunac,Ž,Hrvati,25
2013,Broj,Brod,Ukupno,Hrvati,3021
2013,Broj,Brod,M,Hrvati,1413
2013,Broj,Brod,Ž,Hrvati,1608
2013,Broj,Višegrad,Ukupno,Hrvati,32
2013,Broj,Višegrad,M,Hrvati,5
2013,Broj,Višegrad,Ž,Hrvati,27
2013,Broj,Vlasenica,Ukupno,Hrvati,29
2013,Broj,Vlasenica,M,Hrvati,5
2013,Broj,Vlasenica,Ž,Hrvati,24
2013,Broj,Vukosavlje,Ukupno,Hrvati,698
2013,Broj,Vukosavlje,M,Hrvati,332
2013,Broj,Vukosavlje,Ž,Hrvati,366
2013,Broj,Gacko,Ukupno,Hrvati,13
2013,Broj,Gacko,M,Hrvati,5
2013,Broj,Gacko,Ž,Hrvati,8
