Year,UNIT_MEASURE,Teritory,Spol,Vitalna statistika,Value
2013,Broj,PETROVAC,Ž,four_children,2
2013,Broj,PETROVO,Ž,four_children,91
2013,Broj,PRIJEDOR,Ž,four_children,1761
2013,Broj,PRNJAVOR,Ž,four_children,769
2013,Broj,RIBNIK,Ž,four_children,198
2013,Broj,ROGATICA,Ž,four_children,259
2013,Broj,RUDO,Ž,four_children,201
2013,Broj,SOKOLAC,Ž,four_children,206
2013,Broj,SRBAC,Ž,four_children,306
2013,Broj,SREBRENICA,Ž,four_children,358
2013,Broj,TESLIC,Ž,four_children,1010
2013,Broj,TREBINJE,Ž,four_children,463
2013,Broj,TRNOVO,Ž,four_children,45
2013,Broj,UGLJEVIK,Ž,four_children,264
2013,Broj,FOCA,Ž,four_children,348
2013,Broj,HAN PIJESAK,Ž,four_children,75
2013,Broj,CAJNICE,Ž,four_children,140
2013,Broj,CELINAC,Ž,four_children,385
2013,Broj,SAMAC,Ž,four_children,235
2013,Broj,SEKOVICI,Ž,four_children,193
2013,Broj,SIPOVO,Ž,four_children,275
2013,Broj,REPUBLIKA SRPSKA,Ž,5+,17275
2013,Broj,BANJA LUKA,Ž,5+,1552
2013,Broj,BERKOVICI,Ž,5+,37
2013,Broj,BIJELJINA,Ž,5+,882
2013,Broj,BILECA,Ž,5+,169
2013,Broj,BRATUNAC,Ž,5+,489
2013,Broj,BROD,Ž,5+,224
2013,Broj,VISEGRAD,Ž,5+,123
2013,Broj,VLASENICA,Ž,5+,254
2013,Broj,VUKOSAVLJE,Ž,5+,140
2013,Broj,GACKO,Ž,5+,133
2013,Broj,GRADISKA,Ž,5+,677
2013,Broj,DERVENTA,Ž,5+,372
2013,Broj,DOBOJ,Ž,5+,1006
2013,Broj,DONJI ZABAR,Ž,5+,50
2013,Broj,ZVORNIK,Ž,5+,1008
2013,Broj,ISTOCNA ILIDZA,Ž,5+,54
2013,Broj,ISTOCNI DRVAR,Ž,5+,0
2013,Broj,ISTOCNI MOSTAR,Ž,5+,7
2013,Broj,ISTOCNI STARI GRAD,Ž,5+,7
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,5+,30
2013,Broj,JEZERO,Ž,5+,26
2013,Broj,KALINOVIK,Ž,5+,43
2013,Broj,KNEZEVO,Ž,5+,365
2013,Broj,KOZARSKA DUBICA,Ž,5+,165
2013,Broj,KOSTAJNICA,Ž,5+,47
2013,Broj,KOTOR VAROS,Ž,5+,617
2013,Broj,KRUPA NA UNI,Ž,5+,65
2013,Broj,KUPRES,Ž,5+,10
2013,Broj,LAKTASI,Ž,5+,306
2013,Broj,LOPARE,Ž,5+,209
2013,Broj,LJUBINJE,Ž,5+,41
2013,Broj,MILICI,Ž,5+,239
