Year,UNIT_MEASURE,Пол,AGE,Value
2065,Број,M,0,2966
2065,Број,M,1-4,12169
2065,Број,M,5-9,15919
2065,Број,M,10-14,16667
2065,Број,M,15-19,17442
2065,Број,M,20-24,18376
2065,Број,M,25-29,19488
2065,Број,M,30-34,20764
2065,Број,M,35-39,22081
2065,Број,M,40-44,23377
2065,Број,M,45-49,24595
2065,Број,M,50-54,25217
2065,Број,M,55-59,27108
2065,Број,M,60-64,26539
2065,Број,M,65-69,28950
2065,Број,M,70-74,27332
2065,Број,M,75-79,25168
2065,Број,M,80-84,21763
2065,Број,M,85-89,14962
2065,Број,M,90-94,8069
2065,Број,M,95-99,3089
2065,Број,M,100-104,851
2065,Број,M,105-109,113
2065,Број,M,110-114,6
2065,Број,M,115-119,0
2065,Број,M,120+,0
2070,Број,M,_T,385806
2070,Број,M,0,2828
2070,Број,M,1-4,11597
2070,Број,M,5-9,15179
2070,Број,M,10-14,15942
2070,Број,M,15-19,16672
2070,Број,M,20-24,17467
2070,Број,M,25-29,18495
2070,Број,M,30-34,19635
2070,Број,M,35-39,20879
2070,Број,M,40-44,22119
2070,Број,M,45-49,23302
2070,Број,M,50-54,24359
2070,Број,M,55-59,24777
2070,Број,M,60-64,26305
2070,Број,M,65-69,25338
2070,Број,M,70-74,26853
2070,Број,M,75-79,24152
2070,Број,M,80-84,20512
2070,Број,M,85-89,15713
2070,Број,M,90-94,8968
2070,Број,M,95-99,3665
2070,Број,M,100-104,908
2070,Број,M,105-109,135
2070,Број,M,110-114,7
2070,Број,M,115-119,0
2070,Број,M,120+,0
2019,Број,Ж,_T,583151
2019,Број,Ж,0,4544
2019,Број,Ж,1-4,18021
2019,Број,Ж,5-9,24816
2019,Број,Ж,10-14,26626
2019,Број,Ж,15-19,27188
2019,Број,Ж,20-24,33069
2019,Број,Ж,25-29,30881
2019,Број,Ж,30-34,36285
2019,Број,Ж,35-39,39598
2019,Број,Ж,40-44,39613
2019,Број,Ж,45-49,37080
2019,Број,Ж,50-54,39600
2019,Број,Ж,55-59,44210
2019,Број,Ж,60-64,46269
2019,Број,Ж,65-69,44971
2019,Број,Ж,70-74,33559
2019,Број,Ж,75-79,24321
2019,Број,Ж,80-84,20718
2019,Број,Ж,85-89,9235
2019,Број,Ж,90-94,2202
2019,Број,Ж,95-99,295
2019,Број,Ж,100-104,46
2019,Број,Ж,105-109,3
2019,Број,Ж,110-114,0
2019,Број,Ж,115-119,0
2019,Број,Ж,120+,0
2020,Број,Ж,_T,580582
2020,Број,Ж,0,4490
2020,Број,Ж,1-4,18064
2020,Број,Ж,5-9,23908
2020,Број,Ж,10-14,26790
2020,Број,Ж,15-19,26658
2020,Број,Ж,20-24,31608
2020,Број,Ж,25-29,31522
2020,Број,Ж,30-34,35324
2020,Број,Ж,35-39,39103
2020,Број,Ж,40-44,39688
2020,Број,Ж,45-49,37930
2020,Број,Ж,50-54,37854
2020,Број,Ж,55-59,43433
2020,Број,Ж,60-64,45900
2020,Број,Ж,65-69,45311
2020,Број,Ж,70-74,36585
2020,Број,Ж,75-79,22525
2020,Број,Ж,80-84,21295
2020,Број,Ж,85-89,9712
2020,Број,Ж,90-94,2535
2020,Број,Ж,95-99,300
2020,Број,Ж,100-104,42
2020,Број,Ж,105-109,3
2020,Број,Ж,110-114,0
2020,Број,Ж,115-119,0
2020,Број,Ж,120+,0
2025,Број,Ж,_T,566834
2025,Број,Ж,0,4226
2025,Број,Ж,1-4,17431
2025,Број,Ж,5-9,22578
2025,Број,Ж,10-14,23907
2025,Број,Ж,15-19,26749
2025,Број,Ж,20-24,26636
2025,Број,Ж,25-29,31488
2025,Број,Ж,30-34,31494
2025,Број,Ж,35-39,35337
2025,Број,Ж,40-44,38997
2025,Број,Ж,45-49,39448
2025,Број,Ж,50-54,37551
2025,Број,Ж,55-59,37253
2025,Број,Ж,60-64,42376
2025,Број,Ж,65-69,44092
2025,Број,Ж,70-74,42019
2025,Број,Ж,75-79,31498
2025,Број,Ж,80-84,16810
2025,Број,Ж,85-89,12458
2025,Број,Ж,90-94,3867
2025,Број,Ж,95-99,584
2025,Број,Ж,100-104,34
2025,Број,Ж,105-109,2
2025,Број,Ж,110-114,0
2025,Број,Ж,115-119,0
2025,Број,Ж,120+,0
2030,Број,Ж,_T,551388
2030,Број,Ж,0,3988
2030,Број,Ж,1-4,16426
2030,Број,Ж,5-9,21684
2030,Број,Ж,10-14,22583
2030,Број,Ж,15-19,23880
2030,Број,Ж,20-24,26721
2030,Број,Ж,25-29,26650
2030,Број,Ж,30-34,31466
2030,Број,Ж,35-39,31559
