Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,Srbac,Ž,5+,804.0
2013,Broj,Srebrenica,Oba spola,5+,752.0
2013,Broj,Teslić,M,5+,1887.0
2013,Broj,Grad Trebinje,Ž,5+,1593.0
2013,Broj,Trnovo,Oba spola,5+,74.0
2013,Broj,Ugljevik,M,5+,977.0
2013,Broj,Foča,Ž,5+,654.0
2013,Broj,Han Pijesak,Oba spola,5+,119.0
2013,Broj,Čajniče,M,5+,244.0
2013,Broj,Čelinac,Ž,5+,849.0
2013,Broj,Šamac,Oba spola,5+,1001.0
2013,Broj,Šekovići,M,5+,229.0
2013,Broj,Šipovo,Ž,5+,451.0
2013,Broj,Republika Srpska,Oba spola,average_number,2.85
2013,Broj,Grad Banja Luka,M,average_number,2.76
2013,Broj,Berkovići,Ž,average_number,3.21
2013,Broj,Grad Bijeljina,Oba spola,average_number,3.02
2013,Broj,Bileća,M,average_number,3.21
2013,Broj,Bratunac,Ž,average_number,3.14
2013,Broj,Brod,Oba spola,average_number,2.81
2013,Broj,Višegrad,M,average_number,2.51
2013,Broj,Vlasenica,Ž,average_number,2.87
2013,Broj,Vukosavlje,Oba spola,average_number,2.84
2013,Broj,Gacko,M,average_number,3.15
2013,Broj,Grad Gradiška,Ž,average_number,2.9
2013,Broj,Grad Derventa,Oba spola,average_number,2.77
2013,Broj,Grad Doboj,M,average_number,2.68
2013,Broj,Donji Žabar,Ž,average_number,3.08
2013,Broj,Grad Zvornik,Oba spola,average_number,3.07
2013,Broj,Istočna Ilidža,M,average_number,2.86
2013,Broj,Istočni Drvar,Ž,average_number,1.61
2013,Broj,Istočni Mostar,Oba spola,average_number,2.94
2013,Broj,Istočni Stari Grad,M,average_number,2.55
2013,Broj,Istočno Novo Sarajevo,Ž,average_number,2.71
2013,Broj,Jezero,Oba spola,average_number,2.85
2013,Broj,Kalinovik,M,average_number,2.5
2013,Broj,Kneževo,Ž,average_number,2.94
2013,Broj,Kozarska Dubica,Oba spola,average_number,2.76
2013,Broj,Kostajnica,M,average_number,2.98
2013,Broj,Kotor Varoš,Ž,average_number,3.13
2013,Broj,Krupa Na Uni,Oba spola,average_number,2.87
2013,Broj,Kupres,M,average_number,2.29
2013,Broj,Laktaši,Ž,average_number,3.02
2013,Broj,Lopare,Oba spola,average_number,2.88
2013,Broj,Ljubinje,M,average_number,3.08
2013,Broj,Milići,Ž,average_number,2.92
2013,Broj,Modriča,Oba spola,average_number,2.83
2013,Broj,Mrkonjić Grad,M,average_number,2.6
2013,Broj,Nevesinje,Ž,average_number,3.15
2013,Broj,Novi Grad,Oba spola,average_number,2.87
2013,Broj,Novo Goražde,M,average_number,2.7
2013,Broj,Osmaci,Ž,average_number,3.31
2013,Broj,Oštra Luka,Oba spola,average_number,2.79
2013,Broj,Pale,M,average_number,2.83
2013,Broj,Pelagićevo,Ž,average_number,2.43
2013,Broj,Petrovac,Oba spola,average_number,2.72
2013,Broj,Petrovo,M,average_number,2.49
2013,Broj,Grad Prijedor,Ž,average_number,2.88
2013,Broj,Prnjavor,Oba spola,average_number,2.82
2013,Broj,Ribnik,M,average_number,2.6
2013,Broj,Rogatica,Ž,average_number,2.65
2013,Broj,Rudo,Oba spola,average_number,2.66
2013,Broj,Sokolac,M,average_number,2.7
2013,Broj,Srbac,Ž,average_number,2.75
2013,Broj,Srebrenica,Oba spola,average_number,3.08
2013,Broj,Teslić,M,average_number,2.81
2013,Broj,Grad Trebinje,Ž,average_number,2.99
2013,Broj,Trnovo,Oba spola,average_number,2.48
2013,Broj,Ugljevik,M,average_number,3.11
2013,Broj,Foča,Ž,average_number,2.63
2013,Broj,Han Pijesak,Oba spola,average_number,2.48
2013,Broj,Čajniče,M,average_number,2.82
2013,Broj,Čelinac,Ž,average_number,3.02
2013,Broj,Šamac,Oba spola,average_number,2.91
2013,Broj,Šekovići,M,average_number,2.51
2013,Broj,Šipovo,Ž,average_number,2.72
