Year,UNIT_MEASURE,Teritory,Sex,Vital statistics,Value
2013,Number,TESLIC,F,5+,1100
2013,Number,TREBINJE,F,5+,145
2013,Number,TRNOVO,F,5+,22
2013,Number,UGLJEVIK,F,5+,161
2013,Number,FOCA,F,5+,218
2013,Number,HAN PIJESAK,F,5+,47
2013,Number,CAJNICE,F,5+,72
2013,Number,CELINAC,F,5+,311
2013,Number,SAMAC,F,5+,151
2013,Number,SEKOVICI,F,5+,174
2013,Number,SIPOVO,F,5+,306
