Year,UNIT_MEASURE,Град/општина,Пол,Највиша завршена школа,Value
2013,Број,Лопаре,Ж,Основна школа,1597
2013,Број,Љубиње,Укупно,Основна школа,619
2013,Број,Љубиње,M,Основна школа,261
2013,Број,Љубиње,Ж,Основна школа,358
2013,Број,Милићи,Укупно,Основна школа,2387
2013,Број,Милићи,M,Основна школа,1038
2013,Број,Милићи,Ж,Основна школа,1349
2013,Број,Модрича,Укупно,Основна школа,5255
2013,Број,Модрича,M,Основна школа,2469
2013,Број,Модрича,Ж,Основна школа,2786
2013,Број,Мркоњић Град,Укупно,Основна школа,2720
2013,Број,Мркоњић Град,M,Основна школа,1373
2013,Број,Мркоњић Град,Ж,Основна школа,1347
2013,Број,Невесиње,Укупно,Основна школа,2193
2013,Број,Невесиње,M,Основна школа,961
2013,Број,Невесиње,Ж,Основна школа,1232
2013,Број,Нови Град,Укупно,Основна школа,5660
2013,Број,Нови Град,M,Основна школа,2691
