Year,UNIT_MEASURE,Grad/opština,Pol,Starost,Value
2013,Broj,Grad Zvornik,Ž,10-14,1422
2013,Broj,Istočni Drvar,Ukupno,10-14,0
2013,Broj,Istočni Drvar,M,10-14,0
2013,Broj,Istočni Drvar,Ž,10-14,0
2013,Broj,Istočni Mostar,Ukupno,10-14,13
2013,Broj,Istočni Mostar,M,10-14,8
2013,Broj,Istočni Mostar,Ž,10-14,5
2013,Broj,Grad Istočno Sarajevo,Ukupno,10-14,2730
2013,Broj,Grad Istočno Sarajevo,M,10-14,1401
2013,Broj,Grad Istočno Sarajevo,Ž,10-14,1329
2013,Broj,Istočna Ilidža,Ukupno,10-14,651
2013,Broj,Istočna Ilidža,M,10-14,313
2013,Broj,Istočna Ilidža,Ž,10-14,338
2013,Broj,Istočno Novo Sarajevo,Ukupno,10-14,486
2013,Broj,Istočno Novo Sarajevo,M,10-14,242
2013,Broj,Istočno Novo Sarajevo,Ž,10-14,244
2013,Broj,Istočni Stari Grad,Ukupno,10-14,31
2013,Broj,Istočni Stari Grad,M,10-14,18
2013,Broj,Istočni Stari Grad,Ž,10-14,13
2013,Broj,Pale,Ukupno,10-14,954
2013,Broj,Pale,M,10-14,509
2013,Broj,Pale,Ž,10-14,445
2013,Broj,Sokolac,Ukupno,10-14,542
2013,Broj,Sokolac,M,10-14,282
2013,Broj,Sokolac,Ž,10-14,260
2013,Broj,Trnovo,Ukupno,10-14,66
2013,Broj,Trnovo,M,10-14,37
2013,Broj,Trnovo,Ž,10-14,29
2013,Broj,Jezero,Ukupno,10-14,49
2013,Broj,Jezero,M,10-14,26
2013,Broj,Jezero,Ž,10-14,23
2013,Broj,Kalinovik,Ukupno,10-14,78
2013,Broj,Kalinovik,M,10-14,25
2013,Broj,Kalinovik,Ž,10-14,53
2013,Broj,Kneževo,Ukupno,10-14,557
2013,Broj,Kneževo,M,10-14,283
2013,Broj,Kneževo,Ž,10-14,274
2013,Broj,Kostajnica,Ukupno,10-14,235
2013,Broj,Kostajnica,M,10-14,119
2013,Broj,Kostajnica,Ž,10-14,116
2013,Broj,Kotor Varoš,Ukupno,10-14,1173
2013,Broj,Kotor Varoš,M,10-14,620
2013,Broj,Kotor Varoš,Ž,10-14,553
2013,Broj,Kozarska Dubica,Ukupno,10-14,884
2013,Broj,Kozarska Dubica,M,10-14,465
2013,Broj,Kozarska Dubica,Ž,10-14,419
2013,Broj,Krupa Na Uni,Ukupno,10-14,80
2013,Broj,Krupa Na Uni,M,10-14,36
2013,Broj,Krupa Na Uni,Ž,10-14,44
2013,Broj,Kupres,Ukupno,10-14,14
2013,Broj,Kupres,M,10-14,8
2013,Broj,Kupres,Ž,10-14,6
2013,Broj,Laktaši,Ukupno,10-14,1864
2013,Broj,Laktaši,M,10-14,969
2013,Broj,Laktaši,Ž,10-14,895
2013,Broj,Lopare,Ukupno,10-14,701
2013,Broj,Lopare,M,10-14,382
2013,Broj,Lopare,Ž,10-14,319
2013,Broj,Ljubinje,Ukupno,10-14,150
2013,Broj,Ljubinje,M,10-14,77
2013,Broj,Ljubinje,Ž,10-14,73
2013,Broj,Milići,Ukupno,10-14,498
2013,Broj,Milići,M,10-14,259
2013,Broj,Milići,Ž,10-14,239
2013,Broj,Modriča,Ukupno,10-14,1326
2013,Broj,Modriča,M,10-14,683
2013,Broj,Modriča,Ž,10-14,643
2013,Broj,Mrkonjić Grad,Ukupno,10-14,844
2013,Broj,Mrkonjić Grad,M,10-14,403
2013,Broj,Mrkonjić Grad,Ž,10-14,441
2013,Broj,Nevesinje,Ukupno,10-14,689
2013,Broj,Nevesinje,M,10-14,340
2013,Broj,Nevesinje,Ž,10-14,349
2013,Broj,Novi Grad,Ukupno,10-14,1193
2013,Broj,Novi Grad,M,10-14,655
2013,Broj,Novi Grad,Ž,10-14,538
2013,Broj,Novo Goražde,Ukupno,10-14,83
2013,Broj,Novo Goražde,M,10-14,36
2013,Broj,Novo Goražde,Ž,10-14,47
2013,Broj,Osmaci,Ukupno,10-14,313
2013,Broj,Osmaci,M,10-14,159
2013,Broj,Osmaci,Ž,10-14,154
2013,Broj,Oštra Luka,Ukupno,10-14,163
2013,Broj,Oštra Luka,M,10-14,89
2013,Broj,Oštra Luka,Ž,10-14,74
2013,Broj,Pelagićevo,Ukupno,10-14,185
2013,Broj,Pelagićevo,M,10-14,94
2013,Broj,Pelagićevo,Ž,10-14,91
2013,Broj,Petrovac,Ukupno,10-14,21
2013,Broj,Petrovac,M,10-14,9
2013,Broj,Petrovac,Ž,10-14,12
2013,Broj,Petrovo,Ukupno,10-14,265
2013,Broj,Petrovo,M,10-14,125
2013,Broj,Petrovo,Ž,10-14,140
2013,Broj,Grad Prijedor,Ukupno,10-14,3719
2013,Broj,Grad Prijedor,M,10-14,1888
2013,Broj,Grad Prijedor,Ž,10-14,1831
2013,Broj,Prnjavor,Ukupno,10-14,1869
2013,Broj,Prnjavor,M,10-14,959
2013,Broj,Prnjavor,Ž,10-14,910
